match_id,source_name,timestamp,competition,home_team,away_team,raw_prediction_1X2,raw_odd_1X2,raw_prediction_BTTS,raw_odd_BTTS,raw_prediction_OU25,raw_odd_OU25,raw_prediction_YCards,raw_odd_YCards,raw_prediction_RBTT,raw_odd_RBTT,source_reliability
TEST_MATCH_20251109_A,Source_1,2025-11-09T01:19:31.872281,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_2,2025-11-09T01:19:31.872296,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_3,2025-11-09T01:19:31.872301,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_4,2025-11-09T01:19:31.872304,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_5,2025-11-09T01:19:31.872307,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_6,2025-11-09T01:19:31.872309,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_7,2025-11-09T01:19:31.872311,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_8,2025-11-09T01:19:31.872313,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_9,2025-11-09T01:19:31.872316,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_10,2025-11-09T01:19:31.872318,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_11,2025-11-09T01:19:31.872320,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_12,2025-11-09T01:19:31.872322,Premier League,Manchester City,Arsenal,1,1.5,Yes,1.7,Over 2.5,1.8,Over 4.5,1.75,V1+Yes,2.69,0.8
TEST_MATCH_20251109_A,Source_13,2025-11-09T01:19:31.872324,Premier League,Manchester City,Arsenal,X,3.5,No,2.1,Under 2.5,2.0,Under 4.5,2.05,X+No,5.35,0.8
TEST_MATCH_20251109_A,Source_14,2025-11-09T01:19:31.872326,Premier League,Manchester City,Arsenal,X,3.5,No,2.1,Under 2.5,2.0,Under 4.5,2.05,X+No,5.35,0.8
TEST_MATCH_20251109_A,Source_15,2025-11-09T01:19:31.872333,Premier League,Manchester City,Arsenal,X,3.5,No,2.1,Under 2.5,2.0,Under 4.5,2.05,X+No,5.35,0.8
TEST_MATCH_20251109_A,Source_16,2025-11-09T01:19:31.872336,Premier League,Manchester City,Arsenal,X,3.5,No,2.1,Under 2.5,2.0,Under 4.5,2.05,X+No,5.35,0.8
TEST_MATCH_20251109_A,Source_17,2025-11-09T01:19:31.872338,Premier League,Manchester City,Arsenal,X,3.5,No,2.1,Under 2.5,2.0,Under 4.5,2.05,X+No,5.35,0.8
TEST_MATCH_20251109_A,Source_18,2025-11-09T01:19:31.872340,Premier League,Manchester City,Arsenal,X,3.5,No,2.1,Under 2.5,2.0,Under 4.5,2.05,X+No,5.35,0.8
TEST_MATCH_20251109_A,Source_19,2025-11-09T01:19:31.872342,Premier League,Manchester City,Arsenal,X,3.5,No,2.1,Under 2.5,2.0,Under 4.5,2.05,X+No,5.35,0.8
TEST_MATCH_20251109_A,Source_20,2025-11-09T01:19:31.872345,Premier League,Manchester City,Arsenal,X,3.5,No,2.1,Under 2.5,2.0,Under 4.5,2.05,X+No,5.35,0.8
